Topic,Words,Frequency,Class
186,"miami, dade, miami dade, dade county, school miami",28,high_fb
187,"pius, st pius, pius xi, xi, st",5,high_fb
188,"cyprus high, glace little, hearts games, school glace, edges compassion",1,high_fb
189,"edison, edison high, edison great, look edison, graduated edison",15,high_fb
190,"central, central high, central elementary, central school, school central",41,high_fb
191,"veterinary, esl, esl program, ese, best veterinary",7,high_fb
192,"poor, extremely poor, poor school, lower dauphin, bangor high",20,high_fb
193,"ivy, ivy league, league, league schools, league school",39,high_fb
194,"walden, berwick, gangs need, limited athletes, appreciated pushes",2,high_fb
196,"cambridge, cambridge program, ghs, program, ghs cambridge",19,high_fb
197,"notre dame, notre, dame, dame fairfield, incentive overachieve",3,high_fb
198,"new principal, new, dr richard, principal, richard",15,high_fb
199,"horizon, horizon high, new horizon, echo, previous reviews",6,high_fb
200,"improvement, room improvement, improved, room, school improved",27,high_fb
201,"clovis, clovis west, clackamas, west, clc",8,high_fb
202,"hamilton, hamilton high, craigmont, alexander, school hamilton",17,high_fb
204,"pv, pvhs, pves, pve, pva",31,high_fb
205,"substitute, substitute teacher, sub, substitute teachers, subs",19,high_fb
206,"vmhs, vhhs teachers, vhhs, im happy, parent vmhs",4,high_fb
207,"mps, mpa, bpa, dream lovemisd, msis kid",5,high_fb
208,"quandale dingle, quandale, dingle quandale, dingle, ok ok",32,high_fb
209,"gates, claim create, right condisions, condisions, condisions learning",1,high_fb
210,"say bk, lunches change, forced available, impossible huge, numerous lunches",1,high_fb
211,"leadership, administration, poor, terrible, happening adding",24,high_fb
212,"gilbert, gilbert high, imagine, zanesville high, zanesville",7,high_fb
214,"xavier, xavier high, francis xavier, xavier say, francis",9,high_fb
215,"chaparral, chap, cha, chapin, chaparral high",11,high_fb
216,"recommend baker, baker high, rude environment, impressed went, changed staff",1,high_fb
217,"crestwood, crestview, crestview high, gibson coach, coach arnett",11,high_fb
218,"nj, jersey, new jersey, brunswick, njrotc",52,high_fb
219,"honor, honor roll, roll, tutoring labs, 14 bonus",7,high_fb
220,"salem, salem high, school salem, salem great, attending salem",12,high_fb
221,"mesquite good, fantastic peers, wants big, used environment, used small",1,high_fb
222,"average, school average, average school, average average, average high",26,high_fb
224,"king, kingsway, kings, school kingsford, kingsford high",9,high_fb
225,"best integrated, 99 best, tops regents, way sshs, sshs tops",6,high_fb
226,"gateway, gateway school, say gateway, gateway elementary, conneaut",8,high_fb
227,"counselors, counselor, counseling, students, counselors helpful",70,high_fb
228,"desert, desert vista, high desert, dv, vista",10,high_fb
229,"westminster, pardes, westminster school, student westminster, push",16,high_fb
230,"willowbrook, willow, willowbrook experience, course renovations, experiences willowbrook",4,high_fb
231,"fairhope, fairhope high, normal quick, efforts fairhope, fairhope researched",1,high_fb
232,"mmhs, mms, mmhs teachers, mash, learning levels",4,high_fb
233,"laurel, laurel high, security stuff, rigors undergraduate, placement cosmetology",4,high_fb
234,"cehs, exposed cehs, cap excellent, cehs say, programming added",2,high_fb
-1,"students, high, school, high school, teachers",19020,low_fb
0,"bullying, bullied, bully, child, told",884,low_fb
1,"christian, christian school, christ, faith, god",664,low_fb
2,"staff, teachers, students, caring, great",427,low_fb
3,"montessori, casa, esperanza, clark, boyd buchanan",20,low_fb
4,"love school, love, best school, loved, best",383,low_fb
5,"pta, pto, ptsa, involved, parents",56,low_fb
6,"great school, great, school great, excellent school, excellent",295,low_fb
7,"middle, middle school, high school, high, school",91,low_fb
8,"spanish, language, english, immersion, spanish teacher",91,low_fb
9,"worst, worst school, terrible, horrible, awful",315,low_fb
10,"catholic, catholic school, catholic high, faith, catholic schools",341,low_fb
11,"white, racism, black, racist, diversity",370,low_fb
12,"special, special needs, needs, special education, special ed",123,low_fb
13,"10, 10 10, rate, school 10, rate school",227,low_fb
14,"charter, charter school, charter schools, charter high, schools",116,low_fb
15,"kindergarten, preschool, graders recess, graders, recess gym",12,low_fb
16,"band, arts, music, dance, program",326,low_fb
17,"principal, leadership, new principal, new, principals",117,low_fb
