feature,importance,std
"topic_165 (german, goethe, germany)",1.768387945373373e-05,6.977360918096401e-06
"topic_120 (liberty, liberty christian, liberty elementary)",1.6507006506616406e-05,1.5223352137033056e-05
"topic_179 (dc, dca, dcs)",1.6059422958447644e-05,8.370950115304291e-06
"topic_261 (ace, acera, love ace)",7.338883057517176e-06,4.623719193785116e-06
"topic_140 (dyslexia, dyslexic, diagnosed dyslexia)",7.152428912426956e-06,1.1179724621663573e-05
"topic_210 (hamilton, alexander, school hamilton)",6.133992075252337e-06,5.83371613681276e-06
"topic_245 (gateway, gateway school, school gateway)",0.0,0.0
"topic_244 (walden, walden school, walden green)",0.0,0.0
"topic_248 (classical, classical academy, classical education)",0.0,0.0
"topic_236 (vms, fvms, vv)",0.0,0.0
"topic_243 (willow, willows, willowbrook)",0.0,0.0
"topic_246 (mms, mas, mmr)",0.0,0.0
"topic_235 (covenant, new covenant, covenant christian)",0.0,0.0
"topic_238 (mpa, mps, mpe)",0.0,0.0
"topic_273 (briarwood, briscoe, bre)",0.0,0.0
"topic_249 (pinecrest, woodcrest, pinecrest academy)",0.0,0.0
"topic_247 (hillcrest, skycrest, school hillcrest)",0.0,0.0
"topic_298 (garden, gardens, garden school)",0.0,0.0
"topic_297 (villa, villa maria, villa victoria)",0.0,0.0
"topic_296 (sage, sagemont, desert sage)",0.0,0.0
"topic_293 (emerson, emerson school, emerson wonderful)",0.0,0.0
"topic_291 (lourdes, lady lourdes, lady)",0.0,0.0
"topic_290 (dms, ebc, dw)",0.0,0.0
"topic_288 (catherine, st catherine, siena)",0.0,0.0
"topic_289 (veritas, veritas academy, veritas school)",0.0,0.0
"topic_283 (luke, st luke, luke school)",0.0,0.0
"topic_282 (somerset, somerset academy, miramar)",0.0,0.0
"topic_278 (sfa, sfc, sft)",0.0,0.0
"topic_277 (cds, cda, coram deo)",0.0,0.0
"topic_276 (sms, sms great, experience sms)",0.0,0.0
"topic_233 (salem, salem elementary, salem lutheran)",0.0,0.0
