topic_id,size,share,mean_words,keywords
107,523,0.0008,70.0,"mcs, mchs, mcds, mcmeen, mch, mc, mces, love, mcgehee, teachers"
108,509,0.0008,80.5,"highland, highlands, highland park, highland hall, highlander, school highland, park, hall, highlands school, attended highland"
109,504,0.0008,49.5,"send, send child, child school, child, sending, sending child, don send, send children, don, send kids"
110,496,0.0008,84.9,"ecs, eca, ecds, ec, ecc, ecms, christian, echs, eccs, love ecs"
111,487,0.0008,78.3,"south, southside, southwood, southgate, south school, south high, love south, school south, high, great"
112,476,0.0008,160.2,"fundraisers, fundraising, money, donate, donations, fundraiser, parents, donation, fund, pay"
114,476,0.0008,96.5,"bca, bcs, bcd, bc, christian, bchs, children, family, mbca, bcca"
113,476,0.0008,87.4,"pinecrest, hillcrest, woodcrest, ridgecrest, skycrest, pinecrest academy, seacrest, rivercrest, love, children"
115,471,0.0008,52.9,"reading, read, grade, level, grade level, reading level, reading program, kindergarten, grade reading, daughter"
116,468,0.0008,80.1,"meadows, meadow, meadowbrook, high meadows, meadowlark, meadowview, meadowcreek, round meadow, mission meadows, green meadow"
117,464,0.0008,44.4,"food, lunch, lunches, way way, good, healthy, cook, nice, school lunch, great"
118,461,0.0007,55.5,"principle, new principle, new, principle great, vice principle, principle teachers, vice, principles, school principle, principle principle"
119,458,0.0007,95.7,"aca, acs, acca, almaden, acds, christian, family, children, almaden country, acp"
120,455,0.0007,204.6,"high school, college, high, classes, friends, grade, student, life, like, got"
121,451,0.0007,94.0,"pca, pcs, pc, pomona catholic, pcd, pomona, pccs, christian, pchs, pcds"
122,450,0.0007,75.5,"hfs, hhs, hta, hla, hynes, hts, hgcs, hb, hfa, hh"
123,449,0.0007,52.7,"principal, love school, love, school principal, amazing, great, wonderful, school teachers, school, principal amazing"
124,447,0.0007,73.3,"lms, lfcs, lmes, lmp, lmma, lres, lsa, learning, lya, lws"
125,443,0.0007,73.6,"mountain, mountain view, view, view elementary, mountainville, peaks, twin peaks, peak, glacier, mountain peak"
126,438,0.0007,93.5,"hca, hcs, hccs, hc, hce, hccsa, christian, hchs, hca years, god"
127,437,0.0007,85.3,"georgia, atlanta, ga, gac, savannah, gators, gauer, academy, gacs, best"
128,437,0.0007,92.2,"zion, avalon, vanguard, wesleyan, zion lutheran, lutheran, mount zion, lutheran school, students, christian"
129,430,0.0007,80.1,"fairview, ross, fairmont, rossman, fairmount, anaheim, ross school, fairview elementary, fairview school, anaheim hills"
130,425,0.0007,81.5,"liberty, liberty christian, liberty elementary, school liberty, liberty great, liberty high, love liberty, liberty middle, christian, attended liberty"
131,424,0.0007,83.5,"sacred, sacred heart, heart, heart school, school sacred, heart catholic, catholic, love sacred, attended sacred, children"
132,423,0.0007,75.3,"pine, pinewood, pine view, pine school, longwood, pines, view, gatewood, pine tree, piney"
133,419,0.0007,89.2,"madison, huntsville, olympia, school madison, madison middle, simis, madison great, madison school, james madison, madison elementary"
134,418,0.0007,75.3,"heritage, american heritage, american, heritage school, heritage academy, love heritage, heritage great, heritage elementary, heritage wonderful, children"
135,407,0.0007,67.5,"thank, want thank, thankful, like thank, say thank, mrs, thank teachers, ms, thanks, want"
136,404,0.0007,104.0,"homework, hours, night, home, work, time, hours homework, grade, homework policy, child"
137,401,0.0006,82.0,"tcs, tca, tce, tcps, tchs, tc, tccs, love, children, education"
138,399,0.0006,90.7,"nova, freedom, eisenhower, freedom academy, academy, ike, nova eisenhower, dwight, freedom traditional, students"
139,395,0.0006,95.2,"cornerstone, cornerstone christian, christian, school cornerstone, cornerstone academy, attended cornerstone, love cornerstone, cornerstone years, cornerstone school, academy"
140,395,0.0006,89.3,"peter, st peter, st, peter school, catholic, peters, st peters, saint peter, peter great, children"
141,394,0.0006,75.7,"washington, washington school, washington elementary, seattle, school washington, washington great, elementary, love washington, mt washington, school"
142,371,0.0006,70.7,"sunset, sunrise, sunnyside, sunset view, sunol, sunset park, suncoast, sunol glen, sunset mesa, love sunset"
143,362,0.0006,74.7,"east, eastern, eastside, east great, east high, eastridge, school east, high, love east, east elementary"
144,361,0.0006,107.7,"challenger, quest, stratford, quest academy, challenger school, stratford school, campus, quest program, teachers, curriculum"
145,358,0.0006,79.2,"eagle, eagles, eagle academy, eagle hill, eagle view, eagle college, hill, love eagle, eagle cove, year eagle"
146,356,0.0006,96.9,"ncs, nca, nccs, nc, nccl, ncla, ncas, nchs, children, teachers"
147,355,0.0006,100.5,"beacon, bridges, bridge, bridgeway, bridges academy, bridgeview, academy, beacon academy, learning, bridgeprep"
148,353,0.0006,88.9,"sma, smca, smcs, smt, smhs, smms, smm, sme, smes, smyrna"
149,351,0.0006,95.5,"francis, st francis, st, francis assisi, assisi, francis sales, catholic, saint francis, francis school, sales"
150,348,0.0006,66.9,"ipads, ipad, technology, use, laptops, laptop, chromebooks, chromebook, using, new"
151,344,0.0006,77.4,"wilson, woodrow, wilson hall, woodrow wilson, tahoe, audubon, wilson school, hall, school wilson, wilson elementary"
152,339,0.0005,89.0,"patrick, st patrick, patrick school, st, saint patrick, st pat, saint, pat, patricks, catholic"
153,338,0.0005,68.5,"graland, bethesda, tigers, bethune, tiger, greeley, grattan, cubberley, beth, griegos"
154,334,0.0005,90.5,"fcs, fca, fbcs, fchs, fca years, christian, attended fcs, god, children, love"
155,333,0.0005,97.4,"dyslexia, dyslexic, reading, diagnosed, diagnosed dyslexia, son dyslexia, read, child dyslexia, learning, confidence"
156,328,0.0005,80.1,"avondale, riverdale, hillsdale, springdale, hilldale, imagine avondale, avon, elementary, halldale, kendale"
157,326,0.0005,86.5,"calvary, calvary christian, christian, christian school, mt calvary, god, calvary baptist, calvary chapel, love calvary, attended calvary"
158,325,0.0005,89.4,"ics, ic, ica, bayer, attended ics, school ics, ics years, family, love ics, children"
160,322,0.0005,95.6,"brookfield, brook, brook hill, brookwood, hill, brookfield school, brookview, brookfield academy, muddy brook, stall brook"
159,322,0.0005,95.4,"mca, mcauliffe, mcas, mcauley, mcaa, love mca, christian, mcas scores, christian academy, love"
161,320,0.0005,35.8,"county, best, best elementary, elementary, school county, best school, county best, elementary school, school best, county teachers"
162,318,0.0005,96.2,"st thomas, thomas, st, thomas school, thomas aquinas, sta, aquinas, stm, thomas apostle, apostle"
163,317,0.0005,118.1,"hawaii, hawaiian, hanalani, mainland, aikahi, keiki, maui, iolani, huakailani, punahou"
164,308,0.0005,75.2,"davis, richmond, davis elementary, davis great, zelia, zelia stephens, davison, stephens early, stephens, davis high"
165,306,0.0005,80.1,"canyon, copper, bell canyon, copper canyon, canyon pointe, canyon view, bell, pico, imagine bell, pointe"
166,302,0.0005,73.3,"msa, ms, mspcs, mse, msr, mss, msa great, msae, mslf, mshs"
167,301,0.0005,57.3,"blue, ribbon, blue ribbon, ribbon school, national blue, award, national, ribbon award, blue school, bluebonnet"
168,300,0.0005,126.5,"german, goethe, germany, german school, germantown, international, language, gisb, gissv, english"
169,300,0.0005,84.1,"roosevelt, zeta, roosevelt school, roosevelt great, school roosevelt, roosevelt elementary, love roosevelt, roosevelt wonderful, attended roosevelt, roosevelt middle"
170,294,0.0005,50.6,"37, love 37, 37 great, love, great, children, great school, 326, wonderful, 221"
171,293,0.0005,91.3,"carden, carder, jamestown, carden school, carden academy, carden conejo, attended carden, carder school, conejo, carden method"
172,290,0.0005,85.5,"mckinley, lebanon, atlas, new lebanon, mckinley school, lebanon high, mckinley elementary, mt lebanon, school mckinley, mckinley teachers"
173,289,0.0005,81.4,"mvca, rmca, mvcs, scca, mvhs, csca, mvms, mve, mves, ceca"
174,285,0.0005,91.6,"kennedy, langley, jfk, poe, john kennedy, kennedy elementary, kennedy middle, kennedy school, high, school"
175,284,0.0005,87.9,"saints, saints academy, saints catholic, catholic, asa, saints years, love saints, children saints, saints wonderful, saints school"
176,278,0.0004,74.9,"lakeside, cypress, lakeside academy, school lakeside, lakeside christian, cypress christian, school cypress, lakeside elementary, love lakeside, attended lakeside"
177,278,0.0004,97.9,"providence, providence academy, classical, school providence, providence christian, christian, love providence, providence classical, education, academy"
178,275,0.0004,96.9,"vegas, las vegas, las, nevada, albuquerque, school las, reno, nevada state, best, schools"
179,272,0.0004,12.7,"experience school, experience, great experience, school experience, excellent experience, good experience, school amazing, school great, wonderful experience, amazing"
180,266,0.0004,63.0,"glenwood, glen, glenview, glenallan, glenoaks, glen view, glencoe, glenelg, elementary, great"
181,266,0.0004,95.6,"kipp, kiker, school kipp, year kipp, love kipp, kipp sol, academy, kipp schools, kiva, attending kipp"
182,265,0.0004,88.2,"dc, dca, dcs, dc prep, dcis, dchs, prep, basis dc, dces, dcc"
183,265,0.0004,14.6,"helped, care, children, help, kids, care children, helped son, help children, needs, care child"
184,263,0.0004,79.5,"evergreen, love evergreen, evergreen school, evergreen academy, school evergreen, evhs, rmae, went evergreen, community, evergreen community"
185,260,0.0004,83.1,"rcs, rcds, rcsa, rccs, rchs, rce, rcms, rc, love rcs, attended rcs"
186,257,0.0004,83.2,"miami, dade, school miami, miami dade, dade county, schools miami, county, best, miami springs, school"
188,255,0.0004,96.7,"gca, gca years, zca, love gca, attended gca, gca great, gaca, year gca, christian, recommend gca"
187,255,0.0004,86.2,"pius, st pius, st, pius school, saint pius, spx, catholic, pius wonderful, pius great, children"
189,252,0.0004,81.8,"edison, la reina, reina, la, edison elementary, edison school, edison great, thomas edison, school edison, love edison"
190,252,0.0004,68.6,"central, central elementary, central school, love central, central high, centralia, central road, central great, chatham, school central"
191,251,0.0004,66.5,"ese, esl, ese program, escs, essrig, ese department, esms, esl students, esd, ess"
192,245,0.0004,31.1,"poor, school poor, poor poor, extremely poor, poor school, poor recommend, poor send, year poor, extremely, poor son"
193,243,0.0004,98.2,"ivy, ivy league, league, ivy bound, ivy academia, bound, ivy hall, league schools, academia, league school"
194,241,0.0004,113.8,"walden, walden school, berwick, walden green, green, attended walden, learning, berwick academy, school walden, community"
195,241,0.0004,93.6,"anne, st anne, st, anne school, saint anne, saint, anne catholic, annes, catholic, st annes"
196,240,0.0004,95.9,"cambridge, cambridge program, cambridge school, cambridge academy, school cambridge, program, cambridge heights, love cambridge, experience cambridge, students"
197,239,0.0004,110.6,"notre dame, dame, notre, nda, dame academy, dame school, catholic, dame elementary, nd, school notre"
198,239,0.0004,48.6,"new principal, new, principal, school new, mr, great, love new, changes, cares, year"
199,238,0.0004,95.3,"horizon, echo, new horizon, horizon school, echo horizon, horizons, new horizons, new, horizon prep, marin horizon"
200,237,0.0004,29.4,"improvement, improve, changes, school improved, room improvement, improved, improvements, school needs, room, better"
202,234,0.0004,87.7,"hamilton, alexander, school hamilton, hamilton school, hamilton heights, love hamilton, hamilton great, alexander school, children hamilton, attend hamilton"
201,234,0.0004,80.3,"cls, cla, clariden, clc, clovis, claxton, clonlara, clcs, clariden school, clms"
203,233,0.0004,84.9,"shepherd, good shepherd, shepherd school, good, shepherd valley, hill academy, shepherd hills, shepherds, shepherds hill, shepherd years"
204,232,0.0004,81.3,"pv, pves, pve, pvs, pvhs, pvcp, pvms, pvpv, pva, rawlings"
205,231,0.0004,88.7,"substitute, substitute teacher, sub, substitute teachers, subs, teacher, subbed, school substitute, students, substitutes"
206,230,0.0004,82.8,"vms, fvms, vv, nva, vbfs, vvms, vda, vvs, vma, nuvhs"
207,230,0.0004,85.7,"mpa, mps, mpe, bpa, mp, mpts, mpms, mpb, mp ms, mpcs"
208,230,0.0004,29.3,"yes yes, ok ok, yes, ok, quandale dingle, quandale, dingle quandale, dingle, epicepic, words words"
209,228,0.0004,30.4,"gates, ob, ob gates, gates elementary, gates great, love gates, thunderbird, gates wonderful, gates teachers, love ob"
210,228,0.0004,73.7,"kcc, kca, kcs, community college, kids community, kcc se, kcd, kcc school, family, school kcc"
211,227,0.0004,14.4,"leadership, poor, administration, horrible, terrible, poor leadership, lack, communication, ineffective, admin"
212,225,0.0004,68.7,"imagine, gilbert, west gilbert, imagine west, imagine prep, west, attended imagine, attending imagine, love imagine, prep"
213,224,0.0004,81.7,"discovery, seed, discovery academy, rama, discovery school, awakening seed, discovery elementary, awakening, experience discovery, da"
214,221,0.0004,97.3,"xavier, francis xavier, francis, st francis, sfx, xavier school, st, xavier high, catholic, st xavier"
215,219,0.0004,86.2,"cha, chapin, chaparral, chaminade, chapin school, chaffee, chap, chasco, faculty, cha years"
216,218,0.0004,93.0,"baker, mirman, hubbard, mirus, hubbard woods, learning, love baker, progressive, baker elementary, baker school"
217,216,0.0003,77.6,"crestview, crestwood, crest, creston, crestmont, crestline, crest view, crestwell, crestview elementary, cresthaven"
218,216,0.0003,75.7,"jersey, nj, new jersey, brunswick, jersey city, njrotc, nje, njrotc program, new, high"
219,214,0.0003,57.7,"honor roll, roll, honor, roll year, cbee, roll school, son honor, school honor, daughter honor, roll student"
220,214,0.0003,82.4,"salem, salem elementary, salem lutheran, school salem, salem high, love salem, lutheran, experience salem, salem great, salem academy"
221,214,0.0003,65.2,"ams, bes, beulah, mes, bevis, beulah school, bement, meyzeek, love beulah, mece"
222,213,0.0003,28.4,"average, school average, average school, average teachers, just average, average average, average best, say average, average overall, schools"
223,211,0.0003,90.6,"covenant, new covenant, covenant christian, covenant school, classical, christian, covenant academy, covenant classical, covenant day, school covenant"
224,209,0.0003,68.1,"king, kings, king way, king school, ctk, king academy, kingsway, love king, king kings, storm king"
225,206,0.0003,32.1,"great school, principal, school principal, great, principal great, excellent school, excellent, school great, great principal, involved"
227,204,0.0003,69.6,"counselors, counselor, counseling, guidance, students, don, help, counselors helpful, care, counselors don"
228,204,0.0003,90.1,"desert, desert view, desert heights, heights, desert sky, view, desert star, view academy, desert hills, desert cove"
229,204,0.0003,99.2,"westminster, pardes, westminster school, westminster academy, jewish, westminster christian, children westminster, children, school westminster, student westminster"
226,204,0.0003,99.3,"gateway, gateway school, school gateway, gateway christian, attended gateway, love gateway, gateway academy, gateway years, child gateway, learning"
231,203,0.0003,88.2,"homeschooling, homeschool, homeschooled, home, homeschool program, logos, days, curriculum, week, homeschoolers"
232,203,0.0003,82.9,"mms, mas, mmr, mmes, maspeth, love mms, mmc, mmsa, mme, mms great"
230,203,0.0003,87.7,"willow, willows, willowbrook, willow hill, willow springs, willow bend, bend academy, willow school, bend, hill"
233,202,0.0003,82.8,"laurel, laurel hill, laurelhurst, laurel hall, laurel school, laurel springs, laurel park, hill, hall, school laurel"
234,201,0.0003,68.5,"ces, celc, cee, bce, love ces, cec, ces wonderful, ces great, bces, ces amazing"
-1,361070,0.5842,82.2,"school, teachers, students, kids, child, children, great, staff, year, parents"
