Topic,Words,Frequency,Class
242,"poor, poor school, poor poor, poor recent, religious district",13,low_fb
243,"willow, willowridge, willow canyon, student actually, willowridge awesome",5,low_fb
244,"walden, calm relaxing, walden sophomore, returning calm, relaxing excellent",1,low_fb
245,"gateway charter, gateway, 10 gateway, high strives, backgrounds multiple",2,low_fb
246,"masuk, school masuk, people unbelievable, masuk place, masuk drag",2,low_fb
247,"hillcrest, hillcrest hillcrest, hillcrest really, central weakest, planet hillcrest",4,low_fb
248,"classical, rhode island, rhode, students received, classical poorly",2,low_fb
251,"kennedy, jfk, kennedy high, john kennedy, school kennedy",10,low_fb
252,"davis, davis high, davis great, attended davis, good davis",10,low_fb
253,"bishop, archbishop, luers, dunne, bishop dunne",81,low_fb
254,"laurel, laurel received, paying discounted, career paying, recent strong",1,low_fb
255,"hills things, hills, miss hills, forget preparing, washington principle",2,low_fb
256,"augusta, augusta christian, ranch, spiritually wise, orchestra astonishing",3,low_fb
257,"ssa, program champion, ssd services, northshore ssa, champion athletics",2,low_fb
258,"reciprocated parents, need reciprocated, community sides, sides need, essentially schools",1,low_fb
259,"riverside, child riverside, riverside really, riverside riverside, riverside school",14,low_fb
260,"athens, plato, plato school, greek, greece",7,low_fb
262,"corinth holders, corinth, holders, excellent corinth, think corinth",1,low_fb
263,"renaissance, renaissance high, renaissance school, twinfield, year renaissance",21,low_fb
265,"sixth grade, wanna weathersfield, benudum theatre, schools dancing, 10th wanna",5,low_fb
266,"pe horrible, comment resembles, hmsa weeks, factory fantastic, pen sets",3,low_fb
267,"laurence, lawrence, st lawrence, st laurence, laurence great",4,low_fb
268,"alhambra, almont, aldine, alverno, know alhambra",7,low_fb
270,"montini, monticello, montclair, montini great, montachusett",10,low_fb
271,"zion, zion high, mt zion, mount zion, mt",9,low_fb
272,"stm, stma, strake, men, requirement truly",6,low_fb
273,"brhs, hyndman, concentration camp, bedford, concentration",5,low_fb
274,"hope, hopewell, hope christian, hope best, children hope",5,low_fb
275,"muah, muah muah, love school, school love, best love",12,low_fb
276,"sms, smsh, aice, happy teenager, aice diploma",1,low_fb
277,"started cdh, cdh loves, actually enthusiastic, feels pretty, cdh",1,low_fb
278,"sfhs, sfa, complete educational, realize potential, involvement strong",7,low_fb
279,"pros, cons, pro, pros great, trips nearly",11,low_fb
280,"clark, lewis, rupa, lewis cass, principal rupa",14,low_fb
281,"jackson, east jackson, school jackson, jackson county, jackson prep",9,low_fb
282,"somerset, somerset kids, somerset academy, kids sad, solution graduated",4,low_fb
284,"village, villages, village school, hshs, teachers ta",8,low_fb
285,"mount, graduated mount, advertize mount, mount great, chose mount",10,low_fb
287,"rude, disrespectful, teachers rude, students disrespectful, cringy santa",13,low_fb
288,"catherine, st catherine, school dàughter, challenged yearly, textbooks needed",2,low_fb
290,"dmlk, dphs, world dphs, dphs offers, dmlk amazing",11,low_fb
291,"lourdes, graduated lourdes, lourdes years, lady lourdes, daystar christian",3,low_fb
292,"nashville, marion, tennessee, school nashville, chattanooga",26,low_fb
294,"palm, palm beach, quality palm, dreyfoos students, florida country",2,low_fb
295,"anderson, alumni boyd, state congratulations, anderson reason, anderson hs",3,low_fb
297,"villa, villa rica, villa did, regents exams, rica",3,low_fb
298,"spring garden, garden, spring, garden school, new london",5,low_fb
299,"st teresa, teresa, teresa say, everyday sta, material struggle",1,low_fb
300,"vca, vcs, vca kindergarten, attended vca, vca offers",11,low_fb
301,"jcchs, jchs, jcs, jca, jc",12,low_fb
302,"lee, early college, lee academy, lee high, robert lee",11,low_fb
303,"grant, grant high, grant schools, grant county, love grant",10,low_fb
304,"harmony, harmony magnet, magnet academy, hma, harmony science",10,low_fb
305,"baker, baker school, kentucky florida, small educationally, normal electives",3,low_fb
307,"houston, sam houston, sam, school houston, houston county",9,low_fb
308,"freedom, freedom academy, freedom high, 400 500, period schedule",9,low_fb
