feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_26 (dress, dress code, code)",0.00657405391583814,0.00035248625990095845,1.0,0.00657405391583814,0.006321900435551989,0.006826207396124292
"topic_13 (10, 10 10, rate)",0.006560085996285714,0.0003122657291151337,1.0,0.006560085996285714,0.006336704550459719,0.006783467442111709
"topic_15 (kindergarten, preschool, grade)",0.006547081048335168,0.0005409757171154904,-1.0,-0.006547081048335168,-0.006934071763545728,-0.006160090333124608
"topic_30 (gifted, gifted program, program)",0.0065170841824531145,0.0005960582074560942,1.0,0.0065170841824531145,0.006090689827378367,0.006943478537527862
"topic_40 (rating, ratings, 10)",0.0060232366935571765,0.00041879375611224404,-1.0,-0.0060232366935571765,-0.0063228236991768666,-0.005723649687937486
"topic_18 (stars, star, school stars)",0.005853162822653491,0.00035416329012032344,1.0,0.005853162822653491,0.0055998096672183655,0.006106515978088616
"topic_24 (iep, child iep, special)",0.005849604196705582,0.00028780298679194154,-1.0,-0.005849604196705582,-0.006055486050871269,-0.005643722342539895
"topic_183 (helped, care, children)",0.005791158416263509,0.00017016142364058537,-1.0,-0.005791158416263509,-0.0059128845657976095,-0.005669432266729409
"topic_118 (principle, new principle, new)",0.005721508557411492,0.0003062804189091566,-1.0,-0.005721508557411492,-0.005940608370247159,-0.005502408744575825
"topic_192 (poor, school poor, poor poor)",0.005221015441658261,0.0001474415569256775,-1.0,-0.005221015441658261,-0.005326488777634718,-0.005115542105681804
"topic_46 (administration, turnover, leadership)",0.005182655098622946,0.00023260308519990148,-1.0,-0.005182655098622946,-0.00534904932197489,-0.005016260875271002
"topic_89 (care, great, best)",0.005055529268514514,0.0002965992679993781,-1.0,-0.005055529268514514,-0.005267703603188956,-0.004843354933840072
"topic_93 (north, northside, northridge)",0.0048402624387553495,0.0003748019547205607,1.0,0.0048402624387553495,0.004572145272068067,0.0051083796054426315
"topic_20 (reviews, review, negative)",0.004698418824084916,0.0002507395755818841,-1.0,-0.004698418824084916,-0.004877787111082002,-0.00451905053708783
"topic_73 (bathrooms, bathroom, dirty)",0.004682328679648062,0.00032219650105232795,1.0,0.004682328679648062,0.004451843187535,0.004912814171761124
"topic_14 (charter, charter school, charter schools)",0.00466656495480765,0.0003032585305471827,-1.0,-0.00466656495480765,-0.004883503038934454,-0.004449626870680847
"topic_0 (bullying, bullied, child)",0.0044713579785444655,0.00028340874505229603,-1.0,-0.0044713579785444655,-0.004674096381535114,-0.004268619575553817
"topic_8 (spanish, language, immersion)",0.004461015315763506,0.0004118615249847176,-1.0,-0.004461015315763506,-0.004755643301972213,-0.004166387329554799
"topic_117 (food, lunch, lunches)",0.004401843739350419,0.0002334549242553053,-1.0,-0.004401843739350419,-0.0045688473316534365,-0.004234840147047402
"topic_219 (honor roll, roll, honor)",0.003813475392268506,0.00042065157453809025,-1.0,-0.003813475392268506,-0.004114391401129198,-0.0035125593834078143
"topic_135 (thank, want thank, thankful)",0.003796430096765635,0.0003516034030739622,-1.0,-0.003796430096765635,-0.004047952019323595,-0.003544908174207674
"topic_97 (bhs, bms, bls)",0.0037813303288375066,0.0006093219050423767,1.0,0.0037813303288375066,0.003345447696095471,0.004217212961579542
"topic_19 (daughter, son, year)",0.0036952759749376398,0.0004603855698012231,1.0,0.0036952759749376398,0.003365935978162958,0.004024615971712321
"topic_23 (covid, pandemic, virtual)",0.0034626562849833344,0.00034625843926339004,1.0,0.0034626562849833344,0.0032149579191995243,0.0037103546507671445
"topic_44 (pre, pre program, prek)",0.003220010205234125,0.0003577630570513933,-1.0,-0.003220010205234125,-0.0034759384788033395,-0.0029640819316649105
"topic_37 (west, westside, western)",0.0031657039994736347,0.0004577350212266629,1.0,0.0031657039994736347,0.002838260090926422,0.003493147908020847
"topic_1 (christian, christian school, god)",0.003127990062931185,0.0005151758167259908,-1.0,-0.003127990062931185,-0.003496524641224306,-0.0027594554846380646
"topic_86 (florida, tampa, fl)",0.0030447365302144315,0.0005144583873947725,-1.0,-0.0030447365302144315,-0.0034127578904809067,-0.0026767151699479564
"topic_50 (parking, bus, traffic)",0.002849370004963936,0.0002079051605199939,1.0,0.002849370004963936,0.0027006436125953438,0.002998096397332528
"topic_190 (central, central elementary, central school)",0.002689097603031687,0.0004298928211863984,1.0,0.002689097603031687,0.0023815708045611867,0.0029966244015021876
"topic_11 (white, black, racism)",0.002351158976636869,0.00029106056433097257,1.0,0.002351158976636869,0.002142946791881844,0.0025593711613918937
"topic_143 (east, eastern, eastside)",0.0022839879910929394,0.00019176220249206578,-1.0,-0.0022839879910929394,-0.002421166406953173,-0.0021468095752327056
"topic_48 (gcs, ghs, gms)",0.002256760072932573,0.0005476457578006952,1.0,0.002256760072932573,0.0018649978980546282,0.002648522247810518
