feature,r,abs_r,p_value,n
"topic_60 (central, central high, centerville)",0.025601571944061097,0.025601571944061097,0.005301006254119841,11859
"topic_45 (district, school district, taxes)",0.02506253596552152,0.02506253596552152,0.006344449459362124,11859
"topic_58 (texas, houston, austin)",0.02471295472418674,0.02471295472418674,0.007116471743711511,11859
"topic_66 (phs, ph, students)",0.024650255327028806,0.024650255327028806,0.007263535166710854,11859
"topic_21 (west, western, west high)",0.02239417407923591,0.02239417407923591,0.014738050040062773,11859
"topic_50 (send, send kids, horrible)",-0.022069556651778625,0.022069556651778625,0.01624372891738976,11859
"topic_39 (hhs, whs, students)",0.020803547936122952,0.020803547936122952,0.023482464062016616,11859
"topic_27 (district, school district, great)",0.020762052156376838,0.020762052156376838,0.02376094022090403,11859
"topic_64 (covid, mask, masks)",0.01980614157787455,0.01980614157787455,0.031017048707053033,11859
"topic_48 (math, scores, test)",-0.01976843749584966,0.01976843749584966,0.031338551529779136,11859
"topic_2 (staff, teachers, great)",-0.019032294069057463,0.019032294069057463,0.03821252900243044,11859
"topic_59 (klein, chapel hill, chapel)",0.01892472484169715,0.01892472484169715,0.03931720078221984,11859
"topic_80 (fcs, christian, fayetteville)",-0.018642145578858963,0.018642145578858963,0.04234900966997068,11859
"topic_47 (send, child, send child)",-0.018609451773482017,0.018609451773482017,0.04271222082602851,11859
"topic_65 (bay, bay high, bay view)",0.01848181760790998,0.01848181760790998,0.04415547962723635,11859
"topic_82 (nhs, norwalk, student nhs)",0.01841863312962206,0.01841863312962206,0.044885053364969896,11859
"topic_71 (lincoln, lincoln high, lhs)",0.0178554873537853,0.0178554873537853,0.051847789970422144,11859
"topic_20 (north, northwood, students)",0.017593994880888354,0.017593994880888354,0.05537586528512538,11859
"topic_18 (high, high school, school)",0.016717661813048578,0.016717661813048578,0.06868707178323302,11859
"topic_49 (trinity, holy, holy trinity)",-0.015629176906725918,0.015629176906725918,0.08876908587334421,11859
"topic_42 (terrible, horrible horrible, horrible)",-0.015386267143897204,0.015386267143897204,0.09384161997504092,11859
"topic_76 (la, que, escuela)",-0.015336297399884045,0.015336297399884045,0.09491339673096183,11859
"topic_52 (charter, charter school, charter schools)",-0.015050169547619795,0.015050169547619795,0.10124054485949613,11859
"topic_54 (cchs, cca, hcs)",0.01498229996477606,0.01498229996477606,0.10278958299412391,11859
"topic_7 (special, iep, special needs)",0.013156337819321193,0.013156337819321193,0.15196546874913597,11859
"topic_57 (horrible, terrible, bad)",-0.012244199582825277,0.012244199582825277,0.18243634206908374,11859
"topic_5 (graduated, loved, experience)",0.011651584674572323,0.011651584674572323,0.20452822725461423,11859
"topic_10 (son, daughter, school)",0.010825921816503778,0.010825921816503778,0.23846081079282364,11859
"topic_31 (stars, star, star school)",0.010631969977745152,0.010631969977745152,0.2469775225169195,11859
"topic_63 (jesuit, loyola, ignatius)",-0.01018394357005932,0.01018394357005932,0.2674588764358633,11859
"topic_32 (spanish, language, teacher)",-0.009954701457128488,0.009954701457128488,0.2783781117026718,11859
"topic_13 (10, 10 10, rate)",0.008706919256779359,0.008706919256779359,0.34308204337970527,11859
"topic_30 (prep, stem, engineering)",-0.008494864836747306,0.008494864836747306,0.35496498937551113,11859
"topic_34 (son, college, child)",0.008346520191958112,0.008346520191958112,0.3634303549412273,11859
"topic_72 (teachers, care, students)",-0.008241456523831446,0.008241456523831446,0.36950161676074805,11859
"topic_77 (franklin, towne, elsie)",0.007358117173690023,0.007358117173690023,0.4230053098624998,11859
"topic_1 (bullying, bullied, school)",-0.006891047833929472,0.006891047833929472,0.45303895666443084,11859
"topic_9 (white, racism, diversity)",0.006597849427923166,0.006597849427923166,0.47249125611769865,11859
"topic_16 (dress, code, dress code)",0.006173701204345737,0.006173701204345737,0.5014273263387728,11859
"topic_69 (tc, alexandria, williams)",-0.0060057733905020195,0.0060057733905020195,0.5131376487066764,11859
"topic_3 (sports, coach, football)",-0.0052463741358132684,0.0052463741358132684,0.5678174527547301,11859
"topic_84 (hamilton, tech center, tech)",0.0051835666469707145,0.0051835666469707145,0.5724617317487106,11859
"topic_61 (centennial, perry, hill murray)",0.004850465459449889,0.004850465459449889,0.5973893725940178,11859
"topic_67 (madison, madison high, madison schools)",-0.004653714176842356,0.004653714176842356,0.6123412533484967,11859
"topic_36 (bathrooms, bathroom, food)",0.004449699917860206,0.004449699917860206,0.6280173346917066,11859
"topic_62 (valley, valley high, valley great)",-0.004032530766506207,0.004032530766506207,0.6605932759680572,11859
"topic_35 (rating, 10, rated)",0.0036168356671691273,0.0036168356671691273,0.69370678509009,11859
"topic_53 (east, eastside, east high)",-0.003492690658430091,0.003492690658430091,0.7037140425736947,11859
"topic_74 (lake, lakeview, lakes)",0.0029430380037168452,0.0029430380037168452,0.7486189572672166,11859
"topic_33 (reviews, review, school)",-0.0028785211224132113,0.0028785211224132113,0.753949603213977,11859
"topic_19 (worst, worst school, school worst)",-0.0026621734124252115,0.0026621734124252115,0.7719095176648045,11859
"topic_25 (child, told, daughter)",-0.001654777054899794,0.001654777054899794,0.8570075272518738,11859
"topic_41 (school, don, just)",-0.0014966684990649808,0.0014966684990649808,0.870543104648715,11859
"topic_43 (coral, miami, coral park)",-0.0014708294632021668,0.0014708294632021668,0.8727588873446578,11859
"topic_23 (south, south lake, high)",0.0010390408011729693,0.0010390408011729693,0.9099206376148682,11859
"topic_55 (york, new york, nyc)",0.0008523321455590189,0.0008523321455590189,0.9260557921139234,11859
"topic_14 (sports, great, great school)",0.0004918328256964624,0.0004918328256964624,0.9572901257627895,11859
"topic_83 (cliques, clique, friends)",0.00044966860166250765,0.00044966860166250765,0.96094852897472,11859
"topic_78 (rude, office, staff)",0.00044742826089204764,0.00044742826089204764,0.9611429371220698,11859
"topic_81 (rotc, jrotc, jrotc program)",-0.0003129864986417272,0.0003129864986417272,0.9728130890052569,11859
"topic_56 (vista, vegas, lago)",0.00029857302381372167,0.00029857302381372167,0.9740646334172132,11859
"topic_37 (creek, creek high, sandy)",-0.0002878347846478798,0.0002878347846478798,0.9749970930829817,11859
