feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_9 (white, racism, diversity)",0.007695441191139541,0.00047010105852457034,1.0,0.007695441191139541,0.00735915115241156,0.008031731229867521
"topic_28 (bhs, bchs, bhhs)",0.006566119530772086,0.0008257132307975399,1.0,0.006566119530772086,0.005975439868755122,0.00715679919278905
"topic_21 (west, western, west high)",0.006533367366848486,0.0005316504798411198,1.0,0.006533367366848486,0.006153047524522126,0.006913687209174845
"topic_40 (mhs, mrhs, mhs great)",0.006508819462245507,0.0005139417984222042,1.0,0.006508819462245507,0.006141167647468117,0.006876471277022898
"topic_20 (north, northwood, students)",0.006356753840177675,0.00020773324428553804,1.0,0.006356753840177675,0.006208150429274653,0.006505357251080698
"topic_55 (york, new york, nyc)",0.005979096596818323,0.00025890473916971346,1.0,0.005979096596818323,0.005793887303660159,0.006164305889976487
"topic_64 (covid, mask, masks)",0.005686467001074324,0.0005264932659481581,1.0,0.005686467001074324,0.005309836407321954,0.006063097594826695
"topic_51 (chs, chs great, graduated chs)",0.004996532637750695,0.0004018505329713543,1.0,0.004996532637750695,0.004709066083814542,0.005283999191686848
"topic_32 (spanish, language, teacher)",0.004789938135095473,0.0004723556493055583,-1.0,-0.004789938135095473,-0.0051278410109088105,-0.004452035259282135
"topic_60 (central, central high, centerville)",0.004788069969311281,0.0007704940559196558,1.0,0.004788069969311281,0.004236891725386189,0.0053392482132363734
"topic_52 (charter, charter school, charter schools)",0.004531404717264309,0.0003409719742819137,-1.0,-0.004531404717264309,-0.0047753213738153544,-0.004287488060713263
"topic_44 (lhs, rhs, lhs great)",0.004344357169940005,0.0005774621664822377,1.0,0.004344357169940005,0.003931265621199948,0.004757448718680062
"topic_83 (cliques, clique, friends)",0.004052727903573283,0.000310217963805532,1.0,0.004052727903573283,0.0038308113408033547,0.004274644466343211
"topic_73 (ahs, schools, great)",0.0034857799263217416,0.0004903647104158955,1.0,0.0034857799263217416,0.003134994144272758,0.003836565708370725
